restaurant,review,label
PizzaHut,"The pizza was amazing and delivery was fast!",2
Dominos,"The pizza was cold and tasted bad.",0
BurgerKing,"Great burgers but the fries were soggy.",1
McDonalds,"Excellent service and very tasty burgers!",2
KFC,"The chicken was overcooked and dry.",0
Subway,"Fresh ingredients and friendly staff.",2
Starbucks,"Coffee was amazing, but the place was noisy.",1
TacoBell,"Food was bland and slow service.",0
CafeCoffeeDay,"The coffee was okay, nothing special.",1
Dominos,"Service was average, nothing to complain about.",1
